time_s,sig_activation_sine_ratio_af,sig_activation_square_ratio_af,left_ventricle_stiffness_cgs_af,left_ventricle_pressure_mmhg_af,arterial_compliance_pressure_mmhg_af,left_ventricle_volume_ml_af,mitral_flow_ml_per_s_af,tricuspid_flow_ml_per_s_af
2.61,0.9658794240112429,0.20999999999999952,2416.2339859476015,42.19680965674639,41.50587431861606,33.26188224719602,0.0,-8.668507206848421e-08
2.611,0.9618656020550205,0.21099999999999985,2406.3800530450753,42.01230663741922,41.515005115919585,33.25501010126357,0.0,-8.668507206848421e-08
2.612,0.9576675679211923,0.21199999999999974,2396.073879246527,41.82910634184031,41.523726138657096,33.253193538778504,0.0,-8.668507206848421e-08
2.613,0.9532853014202808,0.21299999999999963,2385.3154149867896,41.64129203894063,41.53200690207721,33.25319353884111,0.0,-8.668507206848421e-08
2.614,0.948718837311548,0.21399999999999952,2374.1047455998505,41.44558343172905,41.539818918987635,33.253193538903716,0.0,-8.668507206848421e-08
2.615,0.9439682654947259,0.21499999999999986,2362.4420917895523,41.241984373110284,41.54713606709823,33.25319353896632,0.0,-8.668507206848421e-08
2.616,0.9390337311803838,0.21599999999999975,2350.3278100478424,41.03050108648986,41.5539349964342,33.25319353902893,0.0,-8.668507206848421e-08
2.617,0.933915435038806,0.21699999999999964,2337.762393020269,40.8111421721547,41.56019513357612,33.25319353909153,0.0,-8.668507206848421e-08
2.618,0.9286136333273305,0.21799999999999953,2324.7464698185963,40.5839186127306,41.56589888364703,33.25319353915413,0.0,-8.668507206848421e-08
2.619,0.9231286379960336,0.21899999999999986,2311.280806280263,40.34884377771161,41.5710318441576,33.25319353921674,0.0,-8.668507206848421e-08
2.62,0.9174608167717246,0.21999999999999975,2297.366305174584,40.10593342705983,41.57558277671888,33.253193539279344,0.0,-8.668507206848421e-08
2.621,0.911610593220139,0.22099999999999964,2283.004006355441,39.855205713870966,41.579543738151514,33.25319353934195,0.0,-8.668507206848421e-08
2.622,0.9055784467863414,0.22199999999999953,2268.195086860468,39.59668118610584,41.58291010521658,33.25319353940455,0.0,-8.668507206848421e-08
2.623,0.8993649128132415,0.22299999999999986,2252.9408609565075,39.330382787383954,41.585680494846095,33.253193539467155,0.0,-8.668507206848421e-08
2.624,0.892970582538236,0.22399999999999975,2237.2427801313693,39.05633585683961,41.58785679587372,33.25319353952976,0.0,-8.668507206848421e-08
